
Objective = 0.0895186

#Fluxes	Value	Minimum	Maximum
2.7.1.2a	0	0	0
2.7.1.2b	0	0	0
5.3.1.9a	-0.00779144	-1000	1000
5.3.1.9b	-0.00779144	-1000	1000
2.7.1.11	0	0	1303.2
4.1.2.13a	0	-473.891	1303.2
3.1.3.11	0	0	1303.2
5.3.1.1	2.59046	0	651.6
_1.2.1.59a	0	0	1000
_1.2.1.59b	0	0	1000
1.2.1.12	-6.4897	-1000	1000
2.7.2.3	6.4897	0	1184.73
5.4.2.1	1.07747	-651.6	236.945
4.2.1.11	1.07747	-651.6	236.945
2.7.1.40a	0.737131	0	1000
2.7.9.2	0	0	1303.2
6.2.1.5	0	0	0
_1.3.99.1	0	0	236.945
4.2.1.2	0	0	0
1.1.1.37	0	-1303.2	0.377778
2.3.3.1	0.110278	0	236.945
4.2.1.3a	0.110278	0	236.945
4.2.1.3b	0.110278	0	236.945
1.1.1.42	0.110278	0	0.110278
6.2.1.9	0	0	0
·4.1.3.1	0	0	236.945
·2.3.3.9	0	0	236.945
4.1.1.39oxi	0	0	124.114
_3.1.3.18	0	0	124.114
_1.1.3.15	0	0	124.114
_4.1.1.2	0	0	0
1.1.1.49	0	0	434.4
3.1.1.31	0	0	434.4
1.1.1.44	0	0	434.4
5.1.3.1	-2.58267	-473.891	0
5.3.1.6	1.20092	0	236.945
5.3.1.9c	0	-1000	1000
2.2.1.1a	-1.27481	-236.945	0
2.2.1.1b	-1.30786	-236.945	0
2.2.1.2	1.31565	-236.945	1303.2
4.1.2.14	0	0	0
4.1.2.4	0	0	0
_1.1.1.47a	0	0	0
_1.1.1.47b	0	0	0
_1.1.5.2	0	0	0
2.7.1.19	3.78359	0	710.836
4.1.2.13b	2.59046	0	1303.2
3.1.3.37	2.59046	0	1303.2
5.1.1.1	0	0	0
1.4.1.1	-0.0446831	-0.0446831	0
2.3.3.5	0	0	0
tRNA 6.1.1.7	0	0	0
1.4.3.16	0	0	1000
2.6.1.1a	-0.163953	-1000	236.945
4.1.1.11	0	0	0
4.1.1.15b	0	0	0
4.3.2.2a	-0.0549683	-236.945	0
6.3.4.4	-0.0549683	-236.945	0
2.1.3.3	0.0257294	0	0.0257294
6.3.4.5a	0.0257294	0	0.0257294
4.3.2.1	0.0257294	0	0.0257294
3.5.1.1	-0.0209681	-0.0209681	0
2.7.2.4	0.0905567	0	0.0905567
1.2.1.11	0.0905567	0	0.0905567
_1.1.1.3a	0.0607069	-1000	1000
_1.1.1.3b	0	-1000	1000
2.7.1.39	0.0473385	0	0.0473385
4.2.3.1a	0.0473385	0	0.0473385
4.2.1.52	0.0298498	0	0.0298498
_1.3.1.26a	-0.0298498	-1000	1000
_1.3.1.26b	0	-1000	1000
2.6.1.83	-0.0298498	-0.0298498	0
5.1.1.7	0.0298498	0	0.0298498
4.1.1.20	0.0298498	0	0.0298498
tRNA 6.1.1.12	0	0	0
_3.5.1.15	0	0	0
tRNA 6.1.1.19	0	0	0
4.1.1.19	0	0	0
3.5.3.11	0	0	0
tRNA 6.1.1.22	0	0	0
tRNA 6.3.5.6	0	0	0
tRNA 6.1.1.6	0	0	0
4.1.1.18	0	0	0
THREOSPON-RXN	0	0	0
4.3.1.19a	0.0252716	0	0.0252716
tRNA 6.1.1.3	0	0	0
1.1.1.95	0	0	0
_4.3.1.19b	-0.11421	-0.51	0
2.3.1.30	0.00796608	0	0.00796608
2.5.1.47	0.00796608	0	0.00796608
2.1.2.1	0.082529	0	0.51
tRNA 6.1.1.11	0	0	0
tRNA 6.1.1.16	0	0	0
tRNA 6.1.1.14	0	0	0
transport TRANS-RXN59G-639	0	0	0
1.4.1.4	0	-1000	1000
2.7.2.11	0	0	1303.2
1.2.1.41	0	-1303.2	0
SPONTPRO-RXN	0	0	1303.2
_1.5.1.12a	-0.0192284	-0.0192284	1303.2
_1.5.1.2a1	-0.0192284	-1000	1000
_1.5.1.2a2	0	-1000	1000
3.5.1.2a	-0.642437	-1000	1000
6.3.1.2	0	0	1303.2
1.4.1.14	-0.455435	-1000	1000
_1.4.7.1	0	0	0
5.1.1.3	0	-1000	0
_3.5.1.2b	0	0	1000
·5.1.1.9	0	-1000	0
4.1.3.27	0.00494447	0	0.00494447
2.4.2.18	-0.00494447	-0.00494447	0
5.3.1.24	0.00494447	0	0.00494447
4.1.1.48	0.00494447	0	0.00494447
4.2.1.20a	0.00494447	-1.13333	0.00494447
_4.2.1.20b	0	0	1.13333
4.2.1.20c	0	0	1.13333
4.1.1.15a	0	0	0
2.6.1.1b	0	0	0
tRNA 6.1.1.17	0.0195379	0	0.0195379
transport TRANS-RXN59G-245	0	0	0
tRNA _6.3.5.7	0	0	0
tRNA ·6.1.1.18	0	0	0
_1.5.1.12d	0	0	1000
_1.5.1.2b	0	0	1000
_1.5.1.12b	0	0	1000
_2.6.1.1c	0	0	0
4.1.3.16	0	0	0
_pyrroline1	0	-1000	0
_1.5.1.12c	0	-1000	1000
_1.5.99.8a	0	-1000	1000
tRNA 6.1.1.15	0	0	0
5.2.1.8	0	0	0
tRNA 6.1.1.2	0	0	0
2.5.1.54	0.0330546	0	0.0330546
4.2.3.4	0.0330546	0	0.0330546
4.2.1.10	0.0330546	0	0.0330546
1.1.1.25	-0.0330546	-0.0330546	0
2.7.1.71	0.0330546	0	0.0330546
2.5.1.19	0.0330546	0	0.0330546
4.2.3.5	0.0330546	0	0.0330546
5.4.99.5	0.0281101	0	0.0281101
4.2.1.51	0.0161152	0	0.0161152
2.6.1.9b	0.0161152	0	0.0161152
4.2.1.96	0	0	0
tRNA 6.1.1.20	0	0	0
_1.11.1.7b	0	0	0
_3.5.1.4b	0	0	0
1.3.1.12	0.0119949	0	0.0119949
_2.6.1.1d	0.0119949	0	0.0119949
tRNA 6.1.1.1	0	0	0
2.4.2.17	-0.00824073	-0.00824072	0
3.6.1.31	0.00824073	0	0.00824072
3.5.4.19	0.00824073	0	0.00824072
