Metabolite	Number of neighbors	All_n	AvgAbsPearson	Z-score	P-value	Consumed_n	Consumed_AvgAbsPearson	Consumed_Z-score	Consumed_P-value	Produced_n	Produced_AvgAbsPearson	Produced_Z-score	Produced_P-value	cross_n	Cross_AvgAbsPearson	Cross_Z-score	Cross_P-value	positive_n	positive_Pearson	positive_Z-score	positive_P-value	Consumed_positive_n	Consumed_positive_Pearson	Consumed_positive_Z-score	Consumed_positive_P-value	Produced_positive_n	Produced_positive_Pearson	Produced_positive_Z-score	Produced_positive_P-value	Cross_positive_n	Cross_positive_Pearson	Cross_positive_Z-score	Cross_positive_P-value	negative_n	negative_Pearson	negative_Z-score	negative_P-value	Consumed_negative_n	Consumed_negative_Pearson	Consumed_negative_Z-score	Consumed_negative_P-value	Produced_negative_n	Produced_negative_Pearson	Produced_negative_Z-score	Produced_negative_P-value	Cross_negative_n	Cross_negative_Pearson	Cross_negative_Z-score	Cross_negative_P-value
beta-D-glucose C6H12O6	3	3	0.469484	0.726906	0.233642	1	0.268054	-0.229701	0.590838	NC	NC	NC	NC	2	0.570198	1.07042	0.142215	1	0.453368	0.303542	0.380738	0	-10000	-1.#IND	1.#QNAN	NC	NC	NC	NC	1	0.453368	0.303542	0.380738	2	-0.477542	0.786067	0.215914	1	-0.268054	-0.0914922	0.536449	NC	NC	NC	NC	1	-0.687029	1.24472	0.106617
ATP C10H16N5O13P3	97	4656	0.367213	-0.665784	0.747225	3741	0.36804	-0.509739	0.694883	45	0.324778	-0.918302	0.82077	870	0.365849	-0.390334	0.651855	2657	0.39571	-0.31488	0.623573	2124	0.396678	-0.248149	0.597991	34	0.346517	-0.790904	0.7855	499	0.394939	-0.0747984	0.529812	1999	-0.329336	-0.953909	0.829935	1617	-0.330424	-0.702321	0.758761	11	-0.257587	-1.08435	0.860896	371	-0.326723	-0.680725	0.751977
beta-D-glucose-6-phosphate C6H13O9P	4	6	0.23037	-1.75404	0.960288	1	0.707354	1.25325	0.105058	3	0.130303	-1.68164	0.953681	5	0.222833	-1.85394	0.968126	4	0.256656	-1.77157	0.961767	1	0.707354	1.14665	0.125763	1	0.0353124	-1.84704	0.967629	4	0.256656	-1.77157	0.961767	2	-0.177798	-0.731843	0.767868	0	-10000	-1.#IND	1.#QNAN	2	-0.177798	-0.731843	0.767868	1	-0.0875418	-0.982188	0.836996
ADP C10H15N5O10P2	60	1770	0.36713	-0.299021	0.617538	36	0.352273	-0.417315	0.661776	1275	0.365882	-0.434009	0.667859	459	0.37176	0.229662	0.409177	991	0.39917	0.20975	0.416932	27	0.386786	-0.0796692	0.53175	704	0.398781	0.0346732	0.48617	260	0.401506	0.408311	0.341523	779	-0.326371	-0.762209	0.777032	9	-0.248733	-1.21961	0.888693	571	-0.325321	-0.702687	0.758875	199	-0.332896	-0.142305	0.55658
fructose-6-phosphate C6H13O9P	6	15	0.428049	0.79596	0.213028	NC	NC	NC	NC	10	0.426278	0.60598	0.272264	5	0.431591	0.58843	0.278122	8	0.535324	1.40409	0.0801459	NC	NC	NC	NC	7	0.529885	1.28542	0.099322	1	0.573398	0.68792	0.245752	7	-0.305449	-0.242081	0.595641	NC	NC	NC	NC	3	-0.184528	-1.01179	0.84418	4	-0.396139	0.533109	0.296979
fructose-1,6-bisphosphate C6H14O12P2	4	6	0.316656	-0.457975	0.676515	3	0.196028	-1.1394	0.872731	NC	NC	NC	NC	3	0.437284	0.459908	0.322791	4	0.316682	-0.38835	0.651121	2	0.275135	-0.428622	0.665901	NC	NC	NC	NC	2	0.358228	-0.146157	0.558101	2	-0.316604	-0.369919	0.644279	1	-0.037813	-1.49027	0.931923	NC	NC	NC	NC	1	-0.595396	0.947562	0.171676
dihydroxy-acetone phosphate C3H7O6P	2	1	0.0441338	-1.6127	0.946595	NC	NC	NC	NC	1	0.0441338	-1.6127	0.946595	1	0.0441338	-1.6127	0.946595	1	0.0441338	-1.71567	0.956889	NC	NC	NC	NC	1	0.0441338	-1.71567	0.956889	1	0.0441338	-1.71567	0.956889	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
D-glyceraldehyde-3-phosphate C3H7O6P	6	15	0.320235	-0.958335	0.831053	3	0.35645	0.00435615	0.498262	6	0.359356	-0.294199	0.615697	11	0.308266	-0.864263	0.806278	10	0.333631	-0.835672	0.79833	1	0.481036	0.392075	0.347501	4	0.320727	-0.885161	0.811965	7	0.342091	-0.400051	0.65544	5	-0.293445	-0.694872	0.756432	2	-0.294157	-0.144235	0.557342	2	-0.436614	0.628145	0.264954	4	-0.249072	-1.04993	0.853125
H2O H2O	132	8646	0.364509	-1.19366	0.883695	4278	0.370338	-0.18559	0.573617	780	0.365182	-0.230243	0.591049	3719	0.35746	-1.7079	0.956173	4741	0.385706	-1.72491	0.957728	2308	0.391384	-0.640034	0.738925	440	0.3895	-0.497796	0.690686	2061	0.379405	-1.90253	0.971449	3905	-0.338772	0.208449	0.417439	1970	-0.345682	0.705595	0.24022	340	-0.333713	0.167509	0.433485	1658	-0.330182	-0.582382	0.719845
phosphate O4P	56	1540	0.366714	-0.529567	0.701794	91	0.35023	-0.818408	0.793438	903	0.371512	0.0768595	0.469368	601	0.358671	-1.01051	0.843874	822	0.404554	0.458439	0.323318	63	0.407282	0.253622	0.399894	451	0.405238	0.509224	0.305297	343	0.402427	0.0521984	0.479185	718	-0.323395	-1.14296	0.873473	28	-0.221862	-2.4349	0.992552	452	-0.337862	0.010601	0.495771	258	-0.300499	-1.83405	0.966677
NAD+ C21H28N7O14P2	40	780	0.366609	-0.0663188	0.526438	105	0.355861	-0.400967	0.655778	300	0.370617	0.33134	0.370194	375	0.366412	-0.198152	0.578537	443	0.387543	-0.321236	0.625984	65	0.395254	-0.042412	0.516915	163	0.388341	-0.0989084	0.539395	215	0.384606	-0.377397	0.647061	337	-0.339091	0.208235	0.417523	40	-0.291848	-0.829449	0.796575	137	-0.34953	0.711702	0.238325	160	-0.341963	0.046564	0.48143
NADH C21H29N7O14P2	35	595	0.372144	0.365003	0.357554	231	0.371466	0.337906	0.367717	78	0.3646	0.0531285	0.478815	286	0.374748	0.229251	0.409337	335	0.388563	-0.190586	0.575575	126	0.385724	-0.221373	0.587599	45	0.391569	-0.045253	0.518047	164	0.389919	-0.072983	0.52909	260	-0.350988	0.805631	0.210228	105	-0.354357	0.842312	0.199807	33	-0.327825	0.0946423	0.462299	122	-0.354354	0.403011	0.34347
1,3-diphosphateglycerate C3H8O10P2	2	1	0.683843	1.16766	0.121472	NC	NC	NC	NC	1	0.683843	1.16766	0.121472	1	0.683843	1.16766	0.121472	1	0.683843	1.06117	0.144306	NC	NC	NC	NC	1	0.683843	1.06117	0.144306	1	0.683843	1.06117	0.144306	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
NADPH C21H30N7O17P3	29	406	0.363407	-0.387082	0.650652	120	0.362529	-0.291033	0.614487	105	0.370527	0.0819106	0.467359	238	0.36372	-0.304309	0.619554	229	0.377948	-0.568962	0.715309	72	0.376575	-0.544365	0.706905	74	0.387749	0.0348624	0.486095	112	0.375747	-0.415733	0.661197	177	-0.344593	0.000165313	0.499934	48	-0.341459	0.0567674	0.477365	31	-0.329418	-0.410543	0.659296	126	-0.353029	0.272172	0.392745
NADP+ C21H29N7O17P3	31	465	0.357551	-0.924484	0.822383	105	0.370527	0.0819106	0.467359	153	0.356525	-0.726794	0.766324	268	0.357679	-0.734466	0.768668	269	0.379913	-0.601596	0.726278	74	0.387749	0.0348624	0.486095	92	0.388579	-0.247063	0.59757	134	0.377973	-0.498701	0.691005	196	-0.326862	-0.942419	0.827011	31	-0.329418	-0.410543	0.659296	61	-0.308182	-1.08284	0.86056	134	-0.337384	-0.377116	0.646956
3-phosphoglycerate C3H7O7P	7	21	0.348505	-0.425515	0.664769	10	0.305454	-0.906128	0.817566	1	0.240049	-0.341061	0.633471	10	0.402401	0.34899	0.363548	16	0.364266	-0.324121	0.627077	6	0.40998	0.254004	0.399746	1	0.240049	-0.445644	0.672073	9	0.347591	-0.522148	0.699216	5	-0.298071	-0.726848	0.76634	4	-0.148666	-1.83272	0.966578	0	-10000	-1.#IND	1.#QNAN	1	-0.89569	2.17478	0.0148233
2-phosphoglycerate C3H7O7P	4	6	0.308045	-0.392445	0.652635	NC	NC	NC	NC	3	0.310503	-0.308852	0.621283	3	0.305587	-0.273413	0.607732	3	0.406399	0.104583	0.458353	NC	NC	NC	NC	1	0.559837	0.644069	0.259765	2	0.32968	-0.303623	0.619292	3	-0.209691	-0.619375	0.732165	NC	NC	NC	NC	2	-0.185836	-0.685777	0.753573	1	-0.257401	-0.130957	0.552095
phosphoenolpyruvate C3H5O6P	5	10	0.313449	-0.505256	0.69331	3	0.160556	-1.62142	0.947537	1	0.270399	-0.220658	0.587321	6	0.397071	0.496671	0.309711	6	0.292326	-0.592724	0.723317	1	0.172153	-0.750342	0.773475	1	0.270399	-0.325393	0.627558	4	0.327851	-0.25444	0.600422	4	-0.345134	-0.148257	0.55893	2	-0.154757	-1.369	0.914501	0	-10000	-1.#IND	1.#QNAN	2	-0.53551	1.1515	0.124764
pyruvate C3H4O3	10	45	0.427977	1.06064	0.144427	10	0.352635	-0.0214771	0.508567	10	0.376543	-0.294666	0.615875	25	0.478688	1.66972	0.0474872	35	0.484406	1.41565	0.0784393	6	0.425705	0.301759	0.381418	9	0.414758	-0.0718076	0.528622	20	0.533357	1.8358	0.0331939	10	-0.230479	-0.976862	0.835681	4	-0.243031	-0.445097	0.671875	1	-0.032611	-1.5713	0.941944	5	-0.260011	-0.394418	0.653364
AMP C10H14N5O7P	32	496	0.360817	-0.795788	0.786922	3	0.293853	-0.601291	0.726177	406	0.364041	-0.462202	0.678032	87	0.348081	-0.94407	0.827433	292	0.361465	-1.89362	0.970862	2	0.0962174	-1.70092	0.955521	237	0.366066	-1.42461	0.922865	53	0.350903	-1.38138	0.916419	204	-0.359889	0.815774	0.207315	1	-0.689125	1.25188	0.105307	169	-0.361201	0.830113	0.203238	34	-0.343682	0.00425088	0.498304
malate C4H6O5	2	1	0.498286	0.552811	0.290197	1	0.498286	0.552811	0.290197	NC	NC	NC	NC	NC	NC	NC	NC	1	0.498286	0.447099	0.327402	1	0.498286	0.447099	0.327402	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
CO2 CO2	36	630	0.370142	0.0695471	0.472277	6	0.364273	0.0558298	0.477739	496	0.370596	-0.00791551	0.503158	128	0.368657	0.179609	0.42873	333	0.39108	-0.0855395	0.534084	4	0.379882	0.00889725	0.496451	259	0.391114	-0.0813422	0.532415	70	0.391597	-0.037949	0.515136	297	-0.346665	0.389724	0.34837	2	-0.333055	-0.0121676	0.504854	237	-0.348174	0.274953	0.391676	58	-0.340971	0.364655	0.357684
oxaloacetate C4H4O5	4	6	0.153165	-2.34814	0.990566	NC	NC	NC	NC	3	0.259327	-0.486443	0.686673	3	0.0470032	-2.99746	0.998639	4	0.140968	-2.36296	0.990935	NC	NC	NC	NC	2	0.230456	-0.723072	0.765182	2	0.0514807	-2.77424	0.997233	2	-0.177559	-0.958234	0.831027	NC	NC	NC	NC	1	-0.317069	0.0810056	0.467719	1	-0.0380483	-1.48682	0.931469
lipoate acetyltransferase N6-(lipoyl)lysine	4	6	0.292191	-0.740407	0.770474	3	0.42031	0.422299	0.336403	NC	NC	NC	NC	3	0.164072	-1.52083	0.935849	2	0.349506	-0.752616	0.77416	1	0.678928	1.04366	0.148321	NC	NC	NC	NC	1	0.0200841	-2.15757	0.984519	4	-0.263533	-0.271006	0.606807	2	-0.291001	-0.0610586	0.524344	NC	NC	NC	NC	2	-0.236066	-0.336532	0.631765
lipoate acetyltransferase N6-(S-acetyldihydrolipoyl)lysine	4	6	0.380361	0.220967	0.412559	1	0.399146	0.232804	0.407957	6	0.380361	0.220967	0.412559	6	0.395447	0.333125	0.36952	1	0.678928	1.04366	0.148321	0	-10000	-1.#IND	1.#QNAN	1	0.678928	1.04366	0.148321	1	0.678928	1.04366	0.148321	5	-0.320648	0.050153	0.48	1	-0.399146	0.347186	0.364226	5	-0.320648	0.050153	0.48	5	-0.338751	0.171288	0.431999
acetyl-CoA C23H38N7O17P3s	11	55	0.362015	-0.20621	0.581686	45	0.349228	-0.540336	0.705517	NC	NC	NC	NC	10	0.419556	0.727783	0.233373	29	0.378422	-0.35754	0.639656	22	0.357329	-0.718248	0.763698	NC	NC	NC	NC	7	0.444715	0.573817	0.283046	26	-0.343715	0.125521	0.450055	23	-0.341479	0.0278958	0.488873	NC	NC	NC	NC	3	-0.360852	0.328258	0.371358
lipoate acetyltransferase N6-(dihydrolipoyl)lysine	2	1	0.298471	-0.1152	0.545857	1	0.298471	-0.1152	0.545857	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.298471	0.0171102	0.493174	1	-0.298471	0.0171102	0.493174	NC	NC	NC	NC	NC	NC	NC	NC
coenzyme A C21H36N7O16P3s	13	78	0.347814	-0.773471	0.780378	10	0.449127	0.947913	0.171587	28	0.342557	-0.654606	0.743639	40	0.326165	-1.02745	0.847895	46	0.356433	-1.04032	0.850905	7	0.405066	0.0253565	0.489885	12	0.341875	-0.812176	0.791655	27	0.350296	-0.904663	0.817178	32	-0.335423	-0.10099	0.540221	3	-0.551937	1.60297	0.0544707	16	-0.343069	-0.0359707	0.514347	13	-0.276048	-0.838348	0.799082
H+ H	101	5050	0.36422	-1.27684	0.89917	2415	0.364555	-1.00428	0.842377	496	0.363665	-0.23944	0.594618	2239	0.363959	-0.918044	0.820702	2818	0.387835	-1.24363	0.893182	1262	0.388391	-0.999746	0.841283	319	0.400102	0.255344	0.399229	1298	0.385182	-1.00357	0.842206	2232	-0.334406	-0.683831	0.752959	1153	-0.338467	-0.131546	0.552328	177	-0.297995	-1.34514	0.910709	941	-0.334684	-0.585598	0.720927
succinate C4H6O4	6	15	0.51862	1.91307	0.0278694	15	0.51862	1.91307	0.0278694	NC	NC	NC	NC	NC	NC	NC	NC	8	0.450231	0.395443	0.346258	8	0.450231	0.395443	0.346258	NC	NC	NC	NC	NC	NC	NC	NC	7	-0.59678	2.50427	0.00613527	7	-0.59678	2.50427	0.00613527	NC	NC	NC	NC	NC	NC	NC	NC
succinyl-CoA C25H40N7O19P3s	3	3	0.675841	2.13348	0.0164429	NC	NC	NC	NC	3	0.675841	2.13348	0.0164429	NC	NC	NC	NC	1	0.586637	0.731005	0.232388	NC	NC	NC	NC	1	0.586637	0.731005	0.232388	NC	NC	NC	NC	2	-0.720443	2.20879	0.0135946	NC	NC	NC	NC	2	-0.720443	2.20879	0.0135946	NC	NC	NC	NC
UQ	55	1485	0.363867	-0.758924	0.776051	990	0.369574	-0.0817086	0.532561	45	0.397022	0.500375	0.308405	450	0.347999	-1.50431	0.933749	791	0.384966	-1.05799	0.854971	534	0.384566	-0.82213	0.794498	23	0.406737	0.099559	0.460347	234	0.383738	-0.822849	0.794703	694	-0.339821	0.178154	0.429301	456	-0.352017	0.937641	0.174214	22	-0.386866	0.737119	0.230525	216	-0.309281	-1.2861	0.900795
fumarate C4H4O4	6	15	0.435042	0.722049	0.235132	NC	NC	NC	NC	15	0.435042	0.722049	0.235132	NC	NC	NC	NC	6	0.502324	0.612979	0.269945	NC	NC	NC	NC	6	0.502324	0.612979	0.269945	NC	NC	NC	NC	9	-0.390187	0.633205	0.2633	NC	NC	NC	NC	9	-0.390187	0.633205	0.2633	NC	NC	NC	NC
UQH2	55	1485	0.363867	-0.758924	0.776051	45	0.397022	0.500375	0.308405	990	0.369574	-0.0817086	0.532561	450	0.347999	-1.50431	0.933749	791	0.384966	-1.05799	0.854971	23	0.406737	0.099559	0.460347	534	0.384566	-0.82213	0.794498	234	0.383738	-0.822849	0.794703	694	-0.339821	0.178154	0.429301	22	-0.386866	0.737119	0.230525	456	-0.352017	0.937641	0.174214	216	-0.309281	-1.2861	0.900795
citrate C6H8O7	2	1	0.100317	-1.0716	0.85805	NC	NC	NC	NC	NC	NC	NC	NC	1	0.100317	-1.0716	0.85805	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.100317	-0.890017	0.813272	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.100317	-0.890017	0.813272
D-isocitrate C6H8O7	2	1	0.474519	0.47688	0.316724	NC	NC	NC	NC	NC	NC	NC	NC	1	0.474519	0.47688	0.316724	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.474519	0.578688	0.2814	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.474519	0.578688	0.2814
2-ketoglutarate C5H6O5	7	21	0.316441	-0.656201	0.744153	6	0.314586	-0.289062	0.613733	6	0.284675	-0.803638	0.789197	15	0.35721	-0.155273	0.561697	10	0.333244	-0.48114	0.684791	3	0.184962	-1.15269	0.875481	2	0.598884	1.28411	0.0995512	7	0.386041	0.0243393	0.490291	11	-0.301166	-0.384345	0.649639	3	-0.44421	0.739502	0.229801	4	-0.12757	-1.67834	0.953359	8	-0.331983	-0.140772	0.555975
