							
Synechocystis sp. PCC 6803							
Operon	GeneName	Locus Name	GI	Strand	Pos. Left(pb)	PosRight	Position
1	rrn5Sa	ST6803r01		-1	2448648	2448766	1
2	rrn23Sa	ST6803r02		-1	2448839	2451721	1
3	rrn16Sa	ST6803r03		-1	2452187	2453675	1
4	rrn16Sb	ST6803r04		1	3325053	3326541	1
5	rrn23Sb	ST6803r05		1	3327007	3329889	1
6	rrn5Sb	ST6803r06		1	3329962	3330080	1
7	-	ST6803t01		-1	189880	189953	1
8	-	ST6803t03		1	271431	271502	1
9	-	ST6803t05		1	345398	345470	1
10	-	ST6803t06		1	446106	446179	1
10	-	slr0695	16329577	1	446230	446751	2
11	-	ST6803t07		1	633304	633384	1
12	-	ST6803t08		-1	645526	645598	1
12	-	sll0990	16329756	-1	644388	645497	2
12	-	sll0992	16329755	-1	643549	644379	3
13	-	ST6803t09		-1	926670	926742	1
14	-	ST6803t10		1	986297	986377	1
15	-	ST6803t11		-1	1082314	1082370	1
16	-	ST6803t13		-1	1329163	1329236	1
17	-	ST6803t14		1	1401517	1401589	1
18	-	ST6803t15		1	1552985	1553058	1
19	-	ST6803t16		1	1619762	1619834	1
20	-	ST6803t17		1	1704238	1704308	1
21	-	ST6803t18		-1	1723194	1723266	1
22	-	ST6803t19		-1	1823366	1823439	1
23	-	ST6803t20		1	1832001	1832087	1
24	-	ST6803t21		-1	1835511	1835600	1
25	-	ST6803t23		-1	2087804	2087875	1
26	-	ST6803t24		1	2092400	2092471	1
27	-	ST6803t25		-1	2151437	2151508	1
28	-	ST6803t26		1	2234978	2235050	1
29	-	ST6803t27		-1	2264982	2265053	1
30	-	ST6803t28		1	2407058	2407130	1
31	-	ST6803t29		-1	2451971	2452044	1
32	-	ST6803t30		1	2490057	2490127	1
33	-	ST6803t31		-1	2504105	2504189	1
34	-	ST6803t32		-1	2582931	2583003	1
35	-	ST6803t34		1	2791019	2791053	1
35	-	slr0915	16331666	1	2791074	2791526	2
36	-	ST6803t36		1	2984874	2984945	1
36	-	slr0108	16331845	1	2984985	2986241	2
37	-	ST6803t37		1	3224057	3224138	1
37	-	ST6803t38		1	3224147	3224218	2
38	-	ST6803t39		-1	3292004	3292089	1
39	-	ST6803t40		1	3326684	3326757	1
40	-	ST6803t41		-1	3333014	3333097	1
41	-	ST6803t42		-1	3367292	3367365	1
42	-	ndhK2	38505806	-1	27353	28012	1
43	-	sgl0001	16331696	-1	2816991	2817110	1
44	ponA	sll0002	16331411	-1	2501221	2503878	1
45	-	sll0005	16331408	-1	2495493	2497538	1
46	aspC	sll0006	16331407	-1	2494205	2495389	1
46	-	sll0007	16331406	-1	2493578	2494153	2
46	-	sll0008	16331405	-1	2493033	2493542	3
47	-	sll0010	16331403	-1	2489484	2489864	1
48	-	sll0012	16331397	-1	2482743	2483528	1
49	mltA	sll0016	16331388	-1	2473645	2474796	1
50	hemL	sll0017	161344754	-1	2471954	2473255	1
51	cbbA	sll0018	16331386	-1	2470591	2471670	1
52	-	sll0019	16331385	-1	2469245	2470429	1
53	clpC	sll0020	16331384	-1	2466407	2468872	1
54	-	sll0021	16331383	-1	2465076	2466326	1
55	-	sll0022	16331381	-1	2463555	2464304	1
55	-	sll0023	16331380	-1	2462212	2463555	2
55	-	sll0024	16331379	-1	2461358	2462179	3
56	ndhF	sll0026	16332010	-1	3178231	3180135	1
56	ndhD	sll0027	16332009	-1	3176543	3178066	2
57	cmpR	sll0030	16332003	-1	3167887	3168801	1
58	-	sll0031	16332000	-1	3164404	3165591	1
59	-	sll0033	16331999	-1	3162738	3164243	1
59	-	sll0034	16331998	-1	3161899	3162675	2
60	-	sll0036	16331996	-1	3159350	3160651	1
61	-	sll0037	16331995	-1	3158106	3159116	1
62	-	sll0038	16331991	-1	3153452	3154660	1
63	-	sll0039	16331990	-1	3152955	3153314	1
63	-	sll0040	16331989	-1	3152239	3152787	2
63	-	sll0041	16331988	-1	3148975	3151977	3
63	tar	sll0042	16331987	-1	3148438	3148929	4
63	-	sll0043	16331986	-1	3144213	3148421	5
63	-	sll0044	16331985	-1	3143696	3144181	6
64	sps	sll0045	16331983	-1	3140713	3142875	1
65	-	sll0047	16331981	-1	3140045	3140356	1
66	-	sll0048	16331980	-1	3138917	3139855	1
67	-	sll0051	16331502	-1	2600012	2600491	1
68	accC	sll0053	16331500	-1	2597851	2599197	1
69	-	sll0055	16331498	-1	2595280	2596566	1
70	grpE	sll0057	16331493	-1	2588884	2589633	1
70	dnaK	sll0058	16331492	-1	2586572	2588650	2
70	-	sll0060	16331491	-1	2585489	2586523	3
